iter	RMSE
0	0.9715147742
1	0.9450624749
2	0.9179920737
3	0.89173353
4	0.8686863774
5	0.8472881925
6	0.8269631566
7	0.8059491227
8	0.7854353495
9	0.7677092237
10	0.7498275756
11	0.7326178672
12	0.7166810719
13	0.7009764946
14	0.6874596709
15	0.6744595335
16	0.6607412011
17	0.6488386438
18	0.6368431937
19	0.6255750634
20	0.6146849598
21	0.6042640333
22	0.5941253754
23	0.5843840148
24	0.5758071465
25	0.566374704
26	0.5585113033
27	0.5513343553
28	0.5440482205
29	0.5378191446
30	0.5311238266
31	0.5236586842
32	0.5172582696
33	0.5112260941
34	0.5055389592
35	0.5000567363
36	0.49518164
37	0.4899120775
38	0.484982098
39	0.4795673516
40	0.4751210945
41	0.4710056017
42	0.4673258871
43	0.4633335241
44	0.4600815313
45	0.4566121895
46	0.45307765
47	0.4499284721
48	0.4467324887
49	0.4442234183
50	0.4410400579
51	0.4389716386
52	0.4362558581
53	0.4336863481
54	0.4312454493
55	0.4292855126
56	0.4273176216
57	0.4249240513
58	0.4244377818
59	0.4239375602
60	0.4218325005
61	0.4201253432
62	0.4189229289
63	0.4173908009
64	0.4167235418
65	0.4152020878
66	0.4138780428
67	0.4131084794
68	0.4126916011
69	0.412179366
70	0.4100997318
71	0.4087291026
72	0.407243403
73	0.4065101963
74	0.4051973223
75	0.4047680976
76	0.4038772693
77	0.4021716663
78	0.3998474408
79	0.3993684251
80	0.3981147483
81	0.3974397068
82	0.3970736357
83	0.3957441737
84	0.3944979213
85	0.3932355149
86	0.3919069554
87	0.3916107563
88	0.3912608062
89	0.3909086853
90	0.3902285207
91	0.3898852545
92	0.3895498866
93	0.3883820609
94	0.3880399488
95	0.3868644503
96	0.3865316607
97	0.38616374
98	0.3857141525
99	0.3851404067
100	0.3841388287
101	0.3836821081
102	0.3823753939
103	0.3812554382
104	0.3804307275
105	0.3794588286
106	0.3779715142
107	0.3776652184
108	0.3769455425
109	0.3756878653
110	0.3751624169
111	0.3742963821
112	0.373281373
113	0.3730081742
114	0.3726275141
115	0.372074429
116	0.3717564166
117	0.3708951041
118	0.3703252673
119	0.3701109161
120	0.3693821018
121	0.3689117909
122	0.3679888419
123	0.3676857286
124	0.3672758542
125	0.3670611255
126	0.3665603591
127	0.3655045164
128	0.3652022432
129	0.3647986484
130	0.3646179292
131	0.3644492526
132	0.3640534451
133	0.3636883648
134	0.3624340221
135	0.3616258723
136	0.3613765282
137	0.3606170031
138	0.3598010136
139	0.3590939009
140	0.3587557524
141	0.3580174911
142	0.3578294411
143	0.3575868379
144	0.3571592261
145	0.3570130295
146	0.3568536806
147	0.3564944719
148	0.3560366754
149	0.3545378495
150	0.3543995234
151	0.3542401429
152	0.3533920335
153	0.3529161076
154	0.3525723139
155	0.3517199947
156	0.3508478962
157	0.3506521209
158	0.3502014306
159	0.3501009931
160	0.3498276884
161	0.3496924488
162	0.3493887789
163	0.348558148
164	0.3482260521
165	0.3478291236
166	0.3470531265
167	0.3469140491
168	0.3462734013
169	0.3454933974
170	0.345364858
171	0.3452423398
172	0.3446512289
173	0.3438338072
174	0.3431243562
175	0.3430471256
176	0.3428159095
177	0.3417488665
178	0.3416183669
179	0.3413317355
180	0.3410952309
181	0.3408479271
182	0.3402079811
183	0.3393151161
184	0.3386518377
185	0.3379503295
186	0.3372694383
187	0.3367252787
188	0.3365614986
189	0.3364489779
190	0.3355010527
191	0.3346399916
192	0.3341652601
193	0.3338671712
194	0.3336887552
195	0.3327691193
196	0.3315425109
197	0.3301829114
198	0.3298599551
199	0.329764256
200	0.3289621763
201	0.3288525314
202	0.3287708587
203	0.3281704131
204	0.3274623377
205	0.3263766353
206	0.3260761267
207	0.3259888052
208	0.3258432676
209	0.324913715
210	0.3243956515
211	0.3243024747
212	0.3233796977
213	0.322155322
214	0.3220629703
215	0.3213876288
216	0.3207571683
217	0.3201782935
218	0.3198765603
219	0.3197924886
220	0.3192526532
221	0.3183879343
222	0.3177254212
223	0.3175714567
224	0.3174854032
225	0.3174064468
226	0.3173292433
227	0.3167190164
228	0.3166369934
229	0.3160842727
230	0.3157297188
231	0.3150441604
232	0.3149667443
233	0.3135867955
234	0.3130024136
235	0.3123223033
236	0.3115494925
237	0.3108454737
238	0.3107741722
239	0.3102811667
240	0.3099399389
241	0.3093976104
242	0.3089447846
243	0.308873441
244	0.3082246921
245	0.3076134428
246	0.3071303146
247	0.306615164
248	0.3059522457
249	0.305230421
250	0.304691694
251	0.3040962203
252	0.3035651217
253	0.3030291814
254	0.3025762046
255	0.3025151589
256	0.302047586
257	0.3019845391
258	0.3014105769
259	0.3008359328
260	0.3004139591
261	0.299923564
262	0.2992510358
263	0.2989623872
264	0.2989017924
265	0.298420492
266	0.2977197804
267	0.2976647787
268	0.2976106517
269	0.2970696682
270	0.2970132231
271	0.2969579308
272	0.2961382451
273	0.2956880541
274	0.2952842079
275	0.2952302887
276	0.2946817535
277	0.2941046681
278	0.2940549943
279	0.2936976435
280	0.2936455285
281	0.293201515
282	0.2926073767
283	0.2925598624
284	0.2920011657
285	0.2913952824
286	0.2908433393
287	0.2903174945
288	0.2902305774
289	0.290185017
290	0.2898312177
291	0.289748434
292	0.2893731222
293	0.2889262046
294	0.2884710837
295	0.2883909355
296	0.2879580632
297	0.2874830344
298	0.2870141842
299	0.2865439239
300	0.2860165343
301	0.2852496042
302	0.2846129018
303	0.2840390743
304	0.2836417109
305	0.2831987392
306	0.2830022111
307	0.2824579874
308	0.2819658752
309	0.281318152
310	0.2812768809
311	0.2807945932
312	0.2803366014
313	0.2801862425
314	0.2795658517
315	0.2791067983
316	0.2790680643
317	0.2790290278
318	0.2786390061
319	0.278601865
320	0.2781218517
321	0.2776425935
322	0.2773274512
323	0.2769133986
324	0.2765492952
