iter	Passed	Remaining
0	4	4312
1	8	4085
2	17	5703
3	34	8521
4	38	7692
5	44	7392
6	49	6982
7	54	6704
8	58	6397
9	62	6157
10	66	5942
11	71	5883
12	88	6742
13	93	6565
14	97	6415
15	102	6300
16	106	6137
17	109	5992
18	113	5870
19	117	5775
20	121	5668
21	126	5623
22	130	5551
23	134	5462
24	137	5375
25	141	5288
26	145	5236
27	150	5230
28	154	5172
29	157	5101
30	161	5045
31	166	5037
32	170	4992
33	174	4944
34	177	4896
35	181	4864
36	185	4832
37	189	4787
38	192	4754
39	203	4882
40	208	4868
41	213	4861
42	216	4827
43	220	4792
44	224	4767
45	229	4757
46	248	5041
47	252	5005
48	256	4975
49	260	4941
50	264	4917
51	267	4880
52	271	4844
53	274	4809
54	278	4790
55	282	4767
56	286	4739
57	289	4709
58	294	4692
59	310	4860
60	314	4834
61	317	4798
62	320	4763
63	323	4728
64	327	4703
65	330	4674
66	333	4640
67	336	4608
68	337	4560
69	340	4529
70	344	4508
71	347	4479
72	350	4451
73	353	4424
74	356	4397
75	360	4378
76	363	4353
77	366	4330
78	374	4364
79	376	4331
80	379	4306
81	381	4273
82	384	4249
83	387	4226
84	390	4206
85	393	4186
86	396	4165
87	399	4143
88	402	4122
89	405	4100
90	409	4085
91	412	4066
92	420	4103
93	424	4089
94	427	4070
95	430	4051
96	433	4032
97	436	4014
98	439	4000
99	442	3984
100	445	3968
101	448	3951
102	451	3934
103	455	3920
104	458	3905
105	461	3890
106	464	3878
107	467	3863
108	470	3847
109	474	3836
110	477	3822
111	480	3807
112	483	3794
113	486	3780
114	489	3766
115	492	3750
116	495	3736
117	497	3721
118	500	3707
119	503	3695
120	511	3716
121	514	3702
122	517	3687
123	520	3679
124	523	3666
125	526	3653
126	529	3640
127	532	3627
128	535	3615
129	538	3604
130	540	3587
131	543	3575
132	545	3558
133	548	3545
134	551	3534
135	557	3544
136	569	3587
137	575	3597
138	580	3595
139	586	3600
140	589	3591
141	593	3584
142	596	3576
143	600	3568
144	603	3560
145	605	3542
146	608	3532
147	612	3523
148	615	3515
149	620	3513
150	623	3507
151	626	3497
152	630	3489
153	634	3484
154	638	3479
155	642	3474
156	645	3468
157	649	3461
158	653	3457
159	656	3446
160	660	3440
161	663	3434
162	668	3430
163	672	3426
164	678	3434
165	682	3429
166	686	3422
167	689	3415
168	693	3411
169	697	3405
170	701	3400
